1,3,5,-77
1,5,5,-77
0,5,5,-79
0,5,6,-79
1,6,4,-79
1,7,4,-78
1,8,4,-79
0,8,5,-77
0,8,6,-77
0,8,5,-79
0,8,6,-79
0,8,5,-79
0,8,4,-77
0,8,4,-78
0,8,6,-79
0,8,7,-79
1,9,4,-79
0,9,5,-79
0,9,6,-79
0,9,5,-79
1,11,4,-79
0,11,6,-75
0,11,6,-79
0,11,5,-77
1,13,6,-77
0,14,5,-78
0,14,7,-75
0,14,6,-78
0,14,4,-79
1,15,6,-79
0,15,6,-78
0,15,6,-75
0,15,4,-79
0,15,6,-78
0,15,4,-79
0,15,5,-79
0,15,4,-79
0,15,5,-79
1,15,6,-79
0,15,6,-79
0,15,8,-76
0,15,6,-78
1,15,6,-78
0,15,5,-78
0,15,5,-79
0,15,4,-76
0,15,5,-79
0,15,5,-77
0,15,5,-79
0,15,7,-77
0,15,6,-76
0,15,5,-79
0,15,7,-78
0,15,6,-77
0,15,4,-78
0,15,4,-78
0,15,6,-77
1,15,6,-75
0,15,5,-79
0,15,6,-79
0,15,4,-77
0,15,4,-79
0,15,7,-79
1,15,6,-79
0,15,4,-79
0,15,5,-78
0,15,6,-75
0,15,6,-75
1,15,6,-79
0,15,6,-79
0,15,4,-76
0,15,4,-79
0,15,4,-79
0,15,6,-79
0,15,5,-77
1,15,5,-77
0,15,6,-78
0,15,6,-76
0,15,4,-76
0,15,4,-80
1,15,6,-78
0,15,6,-76
1,15,5,-75
0,15,4,-76
0,15,7,-79
0,15,6,-78
0,15,4,-78
1,15,6,-78
0,15,4,-79
0,15,4,-77
0,15,8,-79
1,15,6,-77
0,15,5,-76
0,15,6,-78
0,15,4,-76
0,15,6,-79
0,15,4,-76
0,15,8,-78
0,15,8,-75
0,15,4,-78
0,15,4,-77
0,15,4,-77
1,15,6,-76
0,15,5,-79
0,15,4,-79
0,15,6,-78
0,15,4,-79
0,15,4,-75
0,15,9,-78
0,15,7,-77
0,15,6,-75
1,15,6,-79
0,15,5,-79
1,15,6,-78
0,15,5,-79
0,15,7,-79
0,15,4,-79
0,15,4,-78
0,15,5,-77
0,15,5,-79
1,15,6,-78
0,15,4,-79
0,15,4,-79
0,15,5,-78
0,15,4,-80
0,15,4,-79
1,15,6,-75
1,15,7,-77
0,15,5,-78
0,15,5,-79
0,15,6,-78
1,15,7,-76
0,15,5,-79
0,15,6,-79
0,15,5,-79
0,15,4,-79
1,15,7,-78
0,15,4,-79
0,15,6,-79
1,15,5,-79
0,15,4,-77
0,15,4,-79
0,15,4,-79
0,15,4,-76
0,15,6,-79
0,15,5,-79
1,15,8,-79
0,15,6,-77
0,15,5,-77
0,15,5,-78
0,15,4,-80
0,15,7,-79
0,15,4,-78
0,15,4,-78
0,15,4,-76
0,15,6,-75
0,15,5,-77
0,15,4,-79
0,15,5,-79
0,15,6,-79
0,15,7,-78
0,15,4,-79
0,15,5,-79
0,15,5,-77
0,15,6,-79
0,15,7,-79
0,15,6,-78
0,15,6,-75
0,15,4,-79
0,15,6,-79
0,15,6,-74
0,15,5,-79
0,15,5,-79
0,15,4,-78
0,15,4,-78
0,15,4,-79
0,15,4,-78
0,15,4,-79
0,15,5,-79
0,15,4,-79
0,15,4,-79
0,15,7,-78
0,15,7,-79
0,15,6,-76
0,15,6,-78
0,15,4,-78
0,15,7,-76
0,15,6,-79
0,15,4,-77
0,15,6,-79
0,15,7,-78
0,15,4,-79
1,15,6,-77
0,15,7,-77
0,15,6,-78
0,15,4,-79
0,15,7,-79
0,15,5,-79
0,15,4,-79
0,15,6,-80
0,15,5,-79
0,15,5,-77
0,15,6,-79
0,15,7,-79
0,15,4,-78
0,15,5,-77
0,15,5,-79
0,15,4,-77
0,15,6,-78
1,15,6,-78
0,15,4,-79
0,15,6,-77
0,15,4,-79
0,15,7,-79
0,15,4,-78
0,15,4,-76
0,15,6,-78
0,15,7,-79
0,15,4,-78
0,15,4,-79
0,15,5,-77
0,15,5,-77
0,15,6,-79
0,15,4,-76
0,15,5,-77
0,15,6,-77
1,15,6,-76
0,15,4,-79
0,15,4,-80
1,15,5,-78
0,15,6,-79
0,15,4,-79
0,15,7,-78
0,15,7,-76
0,15,4,-78
1,15,6,-78
0,15,5,-79
0,15,5,-79
0,15,6,-79
0,15,5,-77
0,15,4,-78
0,15,5,-78
0,15,6,-79
1,15,8,-79
0,15,4,-78
0,15,6,-79
0,15,7,-79
0,15,5,-77
0,15,5,-78
1,15,7,-77
0,15,5,-77
0,15,4,-77
0,15,4,-79
1,15,6,-79
1,15,7,-79
0,15,4,-78
0,15,5,-78
0,15,4,-78
1,15,6,-76
0,15,4,-78
0,15,7,-79
0,15,7,-77
1,15,6,-79
0,15,4,-79
0,15,4,-78
0,15,5,-77
0,15,5,-78
0,15,4,-79
0,15,5,-79
0,15,4,-79
0,15,4,-79
0,15,5,-79
1,15,7,-79
0,15,7,-79
1,15,7,-77
0,15,5,-78
0,15,5,-78
0,15,4,-79
0,15,5,-77
0,15,6,-78
0,15,4,-76
0,15,7,-79
0,15,6,-78
0,15,6,-78
0,15,4,-78
0,15,7,-79
0,15,5,-77
0,15,6,-79
1,15,8,-79
0,15,6,-79
1,15,6,-77
1,15,6,-79
0,15,4,-79
0,15,6,-79
0,15,4,-78
0,15,6,-78
0,15,6,-79
1,15,5,-78
0,15,7,-75
0,15,6,-78
1,15,6,-79
0,15,4,-78
0,15,6,-79
0,15,4,-77
0,15,4,-79
0,15,6,-79
1,15,6,-77
1,15,5,-77
0,15,8,-79
0,15,4,-78
0,15,4,-79
0,15,7,-79
1,15,4,-79
0,15,5,-79
1,15,4,-79
1,15,6,-77
0,15,5,-79
0,15,5,-77
1,15,6,-78
0,15,7,-79
0,15,5,-79
0,15,6,-79
1,15,6,-79
0,15,6,-78
0,15,6,-79
0,15,6,-79
0,15,4,-79
0,15,5,-79
0,15,5,-79
0,15,5,-76
0,15,6,-79
0,15,4,-78
1,15,4,-79
1,15,6,-75
0,15,4,-79
0,15,7,-79
0,15,7,-77
1,15,7,-79
0,15,8,-79
1,15,4,-79
1,15,6,-79
0,15,7,-78
0,15,6,-79
1,15,12,-79
1,15,4,-77
0,15,4,-79
0,15,6,-77
0,15,4,-78
0,15,6,-79
0,15,6,-75
1,15,6,-77
